,0
0,leadership
1,experienced
2,Leadership
3,innovation
4,leadership
5,experienced
6,leadership
7,innovative
8,innovation
9,innovative
10,leadership
11,experienced
12,experienced
13,leadership
14,leadership
15,innovation
16,experienced
17,leadership
18,innovation
19,leadership
20,strategic
21,leadership
22,innovation
23,innovation
