,0
0,strategic
1,leadership
2,leadership
3,leadership
4,experienced
5,leadership
6,experienced
7,unmatched
8,veteran
9,innovation
10,innovation
11,innovation
12,innovation
13,experienced
14,strategic
15,strategic
16,strategic
17,strategic
18,strategic
19,leadership
20,leadership
21,innovation
22,strategic
23,strategic
