,0
0,strategic
1,strategic
2,innovation
3,unmatched
4,strategic
5,strategic
6,innovation
7,innovation
8,strategic
9,innovative
10,strategic
11,innovation
12,strategic
13,innovation
14,strategic
15,strategic
16,innovation
17,innovation
18,strategic
19,innovation
