,0
0,loyalty
1,brand
2,brand
3,loyalty
4,loyalty
5,brand
6,brand
7,brand
8,loyalty
9,loyalty
10,brand
11,brand
12,brand
13,loyalty
14,loyalty
15,brand
16,brand
17,brand
18,brand
19,brand
20,brand
21,brand
22,brand
23,brand
24,brand
25,brand
