,0
0,strategic
1,strategic
2,unmatched
3,innovation
4,strategic
5,leadership
6,leadership
7,innovative
8,innovation
9,strategic
10,leadership
11,innovation
12,innovation
13,leadership
14,leadership
15,strategic
16,leadership
17,innovation
18,innovation
