,0
0,leadership
1,unmatched
2,strategic
3,innovation
4,innovative
5,innovation
6,leadership
7,leadership
8,leadership
9,veteran
10,leadership
11,strategic
12,unmatched
13,innovative
14,leadership
15,leadership
16,experienced
17,experienced
18,strategic
19,strategic
20,innovative
21,innovation
22,leadership
23,experienced
24,innovation
25,innovation
26,innovative
