,0
0,experienced
1,innovation
2,unmatched
3,innovation
4,unmatched
5,innovation
6,innovation
7,innovation
8,innovation
9,unmatched
10,innovation
11,innovation
12,innovation
13,innovation
14,innovation
15,innovation
