,0
0,brand
1,brand
2,brand
3,brand
4,brand
5,brand
6,brand
7,brand
8,brand
9,brand
10,brand
11,loyalty
12,loyalty
13,brand
14,brand
15,loyalty
16,best-in-class
17,best-in-class
18,brand
19,brand
20,best-in-class
21,brand
22,best-in-class
23,brand
