,0
0,strategic
1,strategic
2,innovative
3,leadership
4,strategic
5,innovative
6,leadership
7,strategic
8,experienced
9,strategic
10,innovative
11,innovation
12,strategic
13,board of directors
14,leadership
15,innovation
