,0
0,strategic
1,leadership
2,innovation
3,leadership
4,strategic
5,strategic
6,strategic
7,innovation
8,strategic
9,strategic
10,innovation
11,innovation
12,board of directors
13,strategic
14,innovative
15,strategic
