,0
0,Leadership
1,strategic
2,strategic
3,strategic
4,innovation
5,strategic
6,strategic
7,strategic
8,strategic
9,leadership
10,strategic
11,strategic
12,leadership
13,leadership
14,strategic
15,strategic
16,strategic
