,0
0,brand
1,brand
2,brand
3,brand
4,brand
5,brand
6,loyalty
7,loyalty
8,brand
9,brand
10,brand
11,brand
12,loyalty
13,loyalty
14,loyalty
15,loyalty
16,brand
