,0
0,proprietary technology
1,brand
2,network effect
3,brand
4,brand
5,economies of scale
6,economies of scale
7,brand
8,brand
9,brand
10,brand
11,brand
12,brand
13,brand
14,brand
15,brand
16,brand
17,brand
18,brand
