,0
0,innovation
1,strategic
2,innovation
3,innovation
4,leadership
5,innovation
6,innovation
7,innovation
8,innovation
9,innovation
10,innovation
11,innovation
12,innovation
13,innovation
14,innovative
15,innovation
16,innovation
17,innovation
