,0
0,leadership
1,innovation
2,leadership
3,innovation
4,leadership
5,leadership
6,innovation
7,leadership
8,leadership
9,leadership
10,leadership
11,strategic
12,leadership
13,leadership
14,leadership
15,innovation
16,innovation
